goos: windows
goarch: amd64
pkg: github.com/qumo-dev/qumo/internal/relay
cpu: Intel(R) Core(TM) i7-10700K CPU @ 3.80GHz
BenchmarkFramePool_GetPut-16                                  	504923678	        12.01 ns/op	       0 B/op	       0 allocs/op
BenchmarkFramePool_GetPut_Parallel-16                         	1000000000	         1.486 ns/op	       0 B/op	       0 allocs/op
BenchmarkFramePool_LargeFrame-16                              	   45703	    123116 ns/op	 1049680 B/op	       1 allocs/op
BenchmarkGroupCache_Next_HitRate-16                           	503807144	        11.87 ns/op	       0 B/op	       0 allocs/op
BenchmarkGroupCache_ConcurrentAppendAndNext/10writers_10readers-16         	  501903	     14125 ns/op	   16422 B/op	      20 allocs/op
BenchmarkGroupRing_Reserve-16                                              	60453156	        92.37 ns/op	       0 B/op	       0 allocs/op
BenchmarkGroupRing_Fill_VariableSize/small_10frames_1KB-16                 	 7962530	       744.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkGroupRing_Fill_VariableSize/medium_50frames_2KB-16                	 1000000	      5407 ns/op	       1 B/op	       0 allocs/op
BenchmarkGroupRing_Fill_VariableSize/large_100frames_10KB-16               	  111028	     57040 ns/op	      90 B/op	       0 allocs/op
BenchmarkTrackDistributor_Broadcast/1_subscriber-16                        	126834466	        48.24 ns/op	       0 B/op	       0 allocs/op
BenchmarkTrackDistributor_Broadcast/10_subscribers-16                      	43287763	       148.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkTrackDistributor_Broadcast/100_subscribers-16                     	 5527412	      1239 ns/op	       0 B/op	       0 allocs/op
BenchmarkTrackDistributor_Broadcast/1000_subscribers-16                    	  440515	     17572 ns/op	       0 B/op	       0 allocs/op
BenchmarkTrackDistributor_SubscribeUnsubscribe-16                          	42264286	       122.5 ns/op	     112 B/op	       1 allocs/op
BenchmarkTrackDistributor_SubscribeUnsubscribe_Parallel-16                 	28700457	       222.6 ns/op	     112 B/op	       1 allocs/op
BenchmarkMemAllocs_FramePool-16                                            	572459106	        10.16 ns/op	       0 B/op	       0 allocs/op
BenchmarkMemAllocs_GroupCache_Append-16                                    	 6695619	       789.0 ns/op	    1640 B/op	       2 allocs/op
BenchmarkMemAllocs_GroupRing_Reserve-16                                    	69611544	        89.69 ns/op	       0 B/op	       0 allocs/op
BenchmarkLockPressure_GroupCache/1w_1r-16                                  	1000000000	         0.0000437 ns/op	       0 B/op	       0 allocs/op
BenchmarkLockPressure_GroupCache/1w_10r-16                                 	1000000000	         0.0001157 ns/op	       0 B/op	       0 allocs/op
BenchmarkLockPressure_GroupCache/10w_10r-16                                	1000000000	         0.0004398 ns/op	       0 B/op	       0 allocs/op
BenchmarkLockPressure_GroupCache/1w_100r-16                                	1000000000	         0.0005939 ns/op	       0 B/op	       0 allocs/op
BenchmarkLockPressure_TrackDistributor_Subscribe/10_goroutines-16          	24473233	       239.8 ns/op	     112 B/op	       1 allocs/op
BenchmarkLockPressure_TrackDistributor_Subscribe/100_goroutines-16         	22890723	       281.3 ns/op	     112 B/op	       1 allocs/op
